Datum,Heimmannschaft,Gastmannschaft,Uhrzeit
12.09.2026 (Sa),PSV,Altentreptow II,19:00 Uhr (Saisoneröffnung)
27.09.2026 (So),Torgelow,PSV,16:00 Uhr
09.10.2026 (Fr),PSV,Waren,19:00 Uhr
07./08.11.2026 (Sa/So),PSV Stralsund,PSV,noch offen
21.11.2026 (Sa),PSV,Neubrandenburg,14:00 Uhr oder 16:30 Uhr
13.12.2026 (So),Stralsunder HV,PSV,14:30 Uhr
09./10.01.2027 (Sa/So),AT II,PSV,noch offen
27.02.2027 (Sa),PSV,PSV Stralsund,16:30 Uhr
06.03.2027 (Sa),Waren,PSV,16:00 Uhr
13.03.2027 (Sa),PSV,PSV Stralsund,18:00 Uhr
17.04.2027 (Sa),NB II,PSV,14:00 Uhr
24.04.2027 (Sa),PSV,Stralsunder HV II,16:30 Uhr
